,model,r2,mse
0,ols,0.9094829970050005,343.1936701022638
1,ols w/ KFold,0.9096611492602901,341.0768005066317
2,ols w/ gridsearch,0.9094829970049991,343.19367010226404
3,lasso,0.9095814810363053,342.4197423967618
4,ridge,0.9094832861744216,343.19023324539035
5,elastic net,0.9095814810363053,342.4197423967618
6,pls regression,0.9095761567121046,342.9061530682988
7,rfr,0.9847607586056802,61.90496394602656
8,gbr,0.9897507253879355,42.27320452072378
9,rfr_2,0.9847423709805129,61.96619354147312
10,gbr_2,0.9906193277319932,38.65906065945128
11,xgb,0.987383612538495,52.11877279159006
